0.98,8659
0.96,8673
0.95,8892
0.86,6980
0.60,4975
0.68,7209
0.89,9324
0.95,8043
0.92,8505
0.84,7693
0.86,8047
0.81,7495
0.91,8141
0.83,8804
0.72,6456
0.87,6919
0.95,8071
0.98,8956
0.99,8769
0.98,9822
0.98,10820
0.89,9263
0.94,7814
0.99,11137
0.99,8394
0.99,9680
0.93,9279
0.90,11307
0.81,7484
0.83,7567
0.85,7154
0.91,7546
0.94,8904
0.72,8113
0.61,7262
0.70,6612
0.81,6856
0.78,7918
0.86,8310
0.89,8718
0.81,8026
0.68,5390
0.75,6788
0.87,7766
0.87,7987
0.99,9566
0.69,8379
0.69,6642
0.77,8729
0.86,11014
0.94,8757
0.93,9539
0.89,9768
0.82,9491
0.82,6629
0.85,9804
0.75,6420
0.92,7330
0.97,8156
0.98,8337
0.78,9024
0.75,6893
0.65,6049
0.70,5734
0.89,7260
0.95,8737
0.85,8806
0.76,8978
0.68,6129
0.78,6449
0.87,7903
0.89,8254
0.94,10507
0.82,7801
0.89,9007
0.83,7832
0.80,7868
0.93,8749
0.94,12407
0.95,12663
0.75,8597
0.79,7522
0.97,8070
0.70,7049
0.82,9886
